Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posting Date,Job ID,URL
Dynamic 365 I Business Analyst I Inhouse Opportunity,Venturenix Limited,,FALSE,Eastern District,Information & Communication Technology,"$35,000 - $45,000 per month",2024-06-26 18:00,76832626,https://hk.jobsdb.com/job/76832626
Manager - Project Management/ Business Analyst -  Management Consulting,PwC,5,FALSE,"Central, Central and Western District",Consulting & Strategy,,2024-06-26 18:00,76843766,https://hk.jobsdb.com/job/76843766
"Senior Technical Manager, IT Solutions (Business Analyst)",The Hong Kong Jockey Club,4,FALSE,Sha Tin District,Information & Communication Technology,,2024-06-26 18:00,76832741,https://hk.jobsdb.com/job/76832741
DATA ANALYST,Sun Hung Kai Properties Ltd,4,FALSE,"Wan Chai, Wan Chai District",Marketing & Communications,,2024-06-29 18:00,76912712,https://hk.jobsdb.com/job/76912712
Data Analyst,Handao Technology Limited,,FALSE,"Tuen Mun, Tuen Mun District",Information & Communication Technology,"$35,000 - $40,000 per month",2024-06-27 18:00,76789825,https://hk.jobsdb.com/job/76789825
Business Technology Analyst ( Open Platform ),Bank of China (Hong Kong) Limited,3,FALSE,Hong Kong,Information & Communication Technology,,2024-06-25 18:00,76816632,https://hk.jobsdb.com/job/76816632
Regional Data Visualisation Specialist,Morgan Half International (Hong Kong) Limited,,FALSE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$35,000 - $40,000 per month",2024-06-28 18:00,76887290,https://hk.jobsdb.com/job/76887290
Data Governance Specialist - 45k x 13 mths,Robert Walters (HK) Ltd,,FALSE,Central and Western District,Information & Communication Technology,$30k - $45k p.m. + double pay + AL + medical + den,2024-06-28 18:00,76908163,https://hk.jobsdb.com/job/76908163
(Senior) Business Analyst (Ref: IT/MEP),ATAL Engineering Ltd,3,TRUE,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-06-26 18:00,76836036,https://hk.jobsdb.com/job/76836036
Money Markets / Bond: IT Business Analysts - Major Bank,IT Solutions Ltd.,,FALSE,Hong Kong,Banking & Financial Services,,2024-06-29 18:00,76928068,https://hk.jobsdb.com/job/76928068
Business Analyst (Major Insurance Firm),Cornerstone Global Partners,2,FALSE,"Central, Central and Western District",Information & Communication Technology,"$30,000 - $45,000 per month",2024-06-24 18:00,76776740,https://hk.jobsdb.com/job/76776740
Data Analyst (New Media Business),Sing Tao Management Services Limited,2,FALSE,"Tseung Kwan O Industrial Estate, Sai Kung District",Information & Communication Technology,,2024-06-27 18:00,76869720,https://hk.jobsdb.com/job/76869720
HR Project Manager,Taste of Asia Group Limited,,FALSE,"San Po Kong, Wong Tai Sin District",Human Resources & Recruitment,"$33,333 - $50,000 per month",2024-06-30 14:00,76935342,https://hk.jobsdb.com/job/76935342
Application Consultant / Project Manager,Frank Recruitment Group Private Ltd.,,FALSE,Central and Western District,Information & Communication Technology,$28000.00 - $40k p.m. + negotiable,2024-06-29 18:00,76912796,https://hk.jobsdb.com/job/76912796
Major Bank: IT Project Officer (Good Written Chinese),IT Solutions Ltd.,3,FALSE,Sha Tin District,Information & Communication Technology,,2024-06-28 18:00,76911886,https://hk.jobsdb.com/job/76911886
"Regional IT Business Analyst (ERP, Corporate systems)",Frank Recruitment Group Private Ltd.,,TRUE,Central and Western District,Information & Communication Technology,$28000.00 - $40k p.m. + negotiable,2024-06-18 18:00,76655642,https://hk.jobsdb.com/job/76655642
Telecommunication MNC - Business Analyst - Large Scale Project,TEKsystems,,FALSE,"Central, Central and Western District",Information & Communication Technology,"$28,000 - $32,000 per month",2024-06-14 18:00,76583007,https://hk.jobsdb.com/job/76583007
Business Analyst / Assistant Business Analyst,M & R Forwarding (HK) Limited,1,TRUE,"Kowloon Bay, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-06-25 18:00,76807751,https://hk.jobsdb.com/job/76807751
Assistant Business Analyst (Fresh Graduates are Welcome!),HKT Enterprise Solutions,,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-25 18:00,76817065,https://hk.jobsdb.com/job/76817065
Business Analyst,Deezy Concept Limited,,FALSE,Tsuen Wan District,Information & Communication Technology,"$26,000 - $32,000 per month",2024-06-26 18:00,76807237,https://hk.jobsdb.com/job/76807237
CRM ANALYST (1-YEAR CONTRACT),Henderson Land Development Company Limited,2,FALSE,"Quarry Bay, Eastern District",Marketing & Communications,,2024-06-28 18:00,75951647,https://hk.jobsdb.com/job/75951647
Data Analyst - Tung Chung (30~35k),Robert Walters (HK) Ltd,,FALSE,Central and Western District,Information & Communication Technology,"$25k - $35k p.a. + AL, Medical, Dental",2024-06-25 18:00,76809451,https://hk.jobsdb.com/job/76809451
"AVP/ Senior Associate/Analyst, Specialist, Data/Business Analytics (Campaign Man",DBS Bank (Hong Kong) Limited,3,TRUE,"Quarry Bay, Eastern District",Consulting & Strategy,,2024-06-26 18:00,76838257,https://hk.jobsdb.com/job/76838257
System Analyst,Swire Properties Limited 太古地產有限公司,3,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-28 18:00,76511599,https://hk.jobsdb.com/job/76511599
Top Tier Insurer - Business Analyst - Up to $35k,Gravitas Recruitment Group (Hong Kong) Limited,1,FALSE,Central and Western District,Information & Communication Technology,$25k - $35k p.a.,2024-06-18 18:00,76658167,https://hk.jobsdb.com/job/76658167
Financial Planning & Analysis (FP&A) - Business Finance,BDO Financial Services Limited,2,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-26 18:00,76839196,https://hk.jobsdb.com/job/76839196
Business Analyst / Assistant Project Manager ,Frank Recruitment Group Private Ltd.,,TRUE,Central and Western District,Information & Communication Technology,$25000.00 - $38k p.m.,2024-06-10 18:00,76485127,https://hk.jobsdb.com/job/76485127
Business Analyst,**Private,1,FALSE,New Territories,Accounting,,2024-06-25 18:00,76813842,https://hk.jobsdb.com/job/76813842
Business Analyst - Healthcare IT Solutions,Ewell Hong Kong Limited,3,TRUE,Sha Tin District,Information & Communication Technology,,2024-06-25 18:00,75821468,https://hk.jobsdb.com/job/75821468
Business Analyst (Business Process Re-engineering/ MNC / Up to 50K),PERSOLKELLY Hong Kong Limited,3,FALSE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$36,000 - $45,000 per month",2024-06-24 18:00,76789754,https://hk.jobsdb.com/job/76789754
Business Analyst - Telecommunications MNC - WFH,TEKsystems,,FALSE,"Wan Chai, Wan Chai District",Information & Communication Technology,"$25,000 - $35,000 per month",2024-06-24 18:00,76792350,https://hk.jobsdb.com/job/76792350
Business Insights & Data Analyst,The Hong Kong Jockey Club,3,FALSE,"Causeway Bay, Wan Chai District",Marketing & Communications,,2024-06-25 18:00,76813754,https://hk.jobsdb.com/job/76813754
Business Analyst,AXA Hong Kong,3,TRUE,"Wong Chuk Hang, Southern District",Information & Communication Technology,discretionary bonus,2024-06-21 18:00,76723693,https://hk.jobsdb.com/job/76723693
"Agency Business Development, Specialist",AIA Hong Kong,5,FALSE,"Quarry Bay, Eastern District",Sales,,2024-06-30 02:00,76933448,https://hk.jobsdb.com/job/76933448
Data Analyst (CRM & Marketing) (exp in adobe & google analytics),Manpower Services (Hong Kong) Limited,2,FALSE,"Tseung Kwan O, Sai Kung District",Information & Communication Technology,,2024-06-28 18:00,76909034,https://hk.jobsdb.com/job/76909034
Business Analyst/Supply Chain Analyst (Logistics/30-33k),Nesta (Hong Kong) Limited,5,FALSE,Hong Kong,"Manufacturing, Transport & Logistics","$30,000 - $33,000 per month",2024-06-25 18:00,76808689,https://hk.jobsdb.com/job/76808689
System Analyst (TCMA),Purapharm International (H.K.) Limited,5,FALSE,"Science Park, Tai Po District",Information & Communication Technology,,2024-06-28 18:00,76896398,https://hk.jobsdb.com/job/76896398
Business Analyst/Project Manager - MNC - Legal Systems - Work Life Balance,TEKsystems,5,FALSE,"Tsuen Wan, Tsuen Wan District",Information & Communication Technology,"$40,000 - $55,000 per month",2024-06-24 18:00,76777338,https://hk.jobsdb.com/job/76777338
Data / Business Analyst,MTM Labo Ltd,2,FALSE,"Quarry Bay, Eastern District",Marketing & Communications,,2024-06-24 18:00,75233593,https://hk.jobsdb.com/job/75233593
Technology - Business Analyst,Accenture Technology Solutions (HK) Ltd,2,FALSE,Central and Western District,Information & Communication Technology,,2024-06-21 18:00,76746686,https://hk.jobsdb.com/job/76746686
Business Analyst (Finance Trading),JFE Consulting Limited,4,FALSE,"Sheung Wan, Central and Western District",Banking & Financial Services,"$25,000 - $35,000 per month",2024-06-21 18:00,76734871,https://hk.jobsdb.com/job/76734871
Assistant Project Manager (Public Sector/ Government Project) PMP/ PRINCE,Headshot Recruitment Limited,,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$25,000 - $35,000 per month",2024-06-28 18:00,76909016,https://hk.jobsdb.com/job/76909016
Senior Business Analyst / Assistant Business Analyst,Hung Hing Printing Group Ltd,5,FALSE,Sha Tin District,Information & Communication Technology,,2024-06-21 18:00,76747003,https://hk.jobsdb.com/job/76747003
"Business Analyst, HRIS at ASMPT Technology Hong Kong Limited",Jobsdb - SmartHire,2,FALSE,"Tsing Yi, Kwai Tsing District",Engineering,,2024-06-25 18:00,76539966,https://hk.jobsdb.com/job/76539966
Business Analyst (APAC),Odoo HK Limited,1,TRUE,"Sai Ying Pun, Central and Western District",Information & Communication Technology,"$25,000 - $34,999 per month",2024-06-21 18:00,76448811,https://hk.jobsdb.com/job/76448811
IT Analyst (Enterprise Solutions),Hong Kong Air Cargo Terminals Ltd,3,FALSE,"Airport Area, Islands District",Information & Communication Technology,,2024-06-28 18:00,74479267,https://hk.jobsdb.com/job/74479267
Business Analyst,m-FINANCE Limited,4,FALSE,Wan Chai District,Information & Communication Technology,"$20,000 - $30,000 per month",2024-06-20 18:00,76717243,https://hk.jobsdb.com/job/76717243
Regulatory Reporting Business Analyst/Project Manager - Leading Bank,Pinpoint Asia,5,FALSE,"Admiralty, Central and Western District",Information & Communication Technology,"$70,000 - $90,000 per month",2024-06-24 18:00,76777313,https://hk.jobsdb.com/job/76777313
Business Analyst - Insurance Company - Agile,TEKsystems,1,FALSE,"Central, Central and Western District",Information & Communication Technology,"$25,000 - $31,000 per month",2024-06-26 18:00,76838271,https://hk.jobsdb.com/job/76838271
E-Commerce Officer / Assistant,Pan Lloyds Publishers Limited,3,TRUE,Tsuen Wan District,Marketing & Communications,,2024-06-29 18:00,76922884,https://hk.jobsdb.com/job/76922884
Assistant Data Analyst,Arcadis,1,FALSE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$25,000 - $30,000 per month",2024-06-28 18:00,76898089,https://hk.jobsdb.com/job/76898089
HR Project Manager,Taste of Asia Group Limited,,FALSE,"San Po Kong, Wong Tai Sin District",Human Resources & Recruitment,"$33,333 - $50,000 per month",2024-06-30 14:00,76935303,https://hk.jobsdb.com/job/76935303
Analyst,DFI Development (HK) Limited,1,FALSE,"Quarry Bay, Eastern District",Banking & Financial Services,,2024-06-28 18:00,76887568,https://hk.jobsdb.com/job/76887568
Business Analysis Officer (Fresh Graduate is also welcome),HKT,1,TRUE,"Quarry Bay, Eastern District",Accounting,,2024-06-25 18:00,76792488,https://hk.jobsdb.com/job/76792488
Business Analyst - Network Project (yearly contract),Automated Systems (HK) Ltd,2,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-24 18:00,76775742,https://hk.jobsdb.com/job/76775742
"Senior Analyst / Analyst, Power BI",Techtronic Industries Co Ltd,2,FALSE,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-06-28 18:00,76904029,https://hk.jobsdb.com/job/76904029
Business Analyst - Banking Projects (Five day work weeks),Excel Technology International (Hong Kong) Limited,,FALSE,Hong Kong,Banking & Financial Services,,2024-06-24 18:00,76768382,https://hk.jobsdb.com/job/76768382
"IT Project Manager (KYC/CDD) - FS Company, 70-80k (Ref_3516)",TalentQuest HR Limited,6,FALSE,Central and Western District,Information & Communication Technology,,2024-06-29 18:00,76929579,https://hk.jobsdb.com/job/76929579
Application Support Officer,Industrial and Commercial Bank of China (Asia) Limited,2,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76886319,https://hk.jobsdb.com/job/76886319
IT Business Analyst (Data Analytic) - MNC / WFH / 20AL ,Links international,1,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,$20k - $30k p.m. + double pay,2024-06-21 18:00,76745422,https://hk.jobsdb.com/job/76745422
Business Analyst / Project Assistant / Admin assistant - Banking (HK$20K - $55K),Global Executive Consultants Ltd.,,TRUE,Central and Western District,Information & Communication Technology,"$20,000 - $30,000 per month",2024-06-29 18:00,76912755,https://hk.jobsdb.com/job/76912755
"Business Analyst, Life Business Solutions",Zurich Insurance (Hong Kong),3,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-20 18:00,76705945,https://hk.jobsdb.com/job/76705945
"Regional Analyst , Business Insight & Sales Planning",Davidoff of Geneva Hong Kong Limited,3,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-24 18:00,76779778,https://hk.jobsdb.com/job/76779778
IT Business Analyst,YesStyle.com Limited,3,FALSE,Kwai Tsing District,Information & Communication Technology,,2024-06-20 18:00,76703236,https://hk.jobsdb.com/job/76703236
Senior Analyst,DFI Development (HK) Limited,2,FALSE,"Quarry Bay, Eastern District",Consulting & Strategy,,2024-06-27 18:00,76256784,https://hk.jobsdb.com/job/76256784
Business Analyst / IT Development Group / (WFH Policy) Ref: SPDD,Yusen Logistics Global Management Limited,3,FALSE,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-06-20 18:00,76055473,https://hk.jobsdb.com/job/76055473
Business Data Analyst,Datacube Research Centre Limited,2,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-24 18:00,74055325,https://hk.jobsdb.com/job/74055325
"Senior Analyst/ Analyst, CRM & Data Analytics",Shangri-La International Hotel Management Limited,3,TRUE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-27 18:00,76860096,https://hk.jobsdb.com/job/76860096
"Business Training and Development, Senior Analyst",AIA Hong Kong,3,FALSE,"Quarry Bay, Eastern District",Insurance & Superannuation,,2024-06-26 18:00,76833788,https://hk.jobsdb.com/job/76833788
Financial Analyst (FP&A) | MNC,Morgan Half International (Hong Kong) Limited,4,FALSE,"Hung Hom, Kowloon City District",Accounting,"$35,000 - $40,000 per month",2024-06-30 13:00,76935125,https://hk.jobsdb.com/job/76935125
Associate Business Analyst - Multiple headcount (with WFH),TEKsystems,1,FALSE,"Central, Central and Western District",Information & Communication Technology,"$20,000 - $30,000 per month",2024-06-22 18:00,76752637,https://hk.jobsdb.com/job/76752637
Senior ERP Business Analyst (2-year contract) (Ref: JD/CSBA/04/2024),Citybus Limited,4,TRUE,"Chai Wan, Eastern District",Information & Communication Technology,,2024-06-24 18:00,74707307,https://hk.jobsdb.com/job/74707307
Business Analysis Officer,City Super Limited,3,FALSE,"Tsim Sha Tsui, Yau Tsim Mong District",Banking & Financial Services,,2024-06-24 18:00,76570638,https://hk.jobsdb.com/job/76570638
Project Manager at TUV SUD Hong Kong Limited,Jobsdb - SmartHire,4,FALSE,Sha Tin District,Science & Technology,,2024-06-27 18:00,76864307,https://hk.jobsdb.com/job/76864307
Business Analyst / Consultant up to 40k,Pathsight Limited,4,FALSE,Hong Kong,Information & Communication Technology,,2024-06-23 18:00,76765669,https://hk.jobsdb.com/job/76765669
Assistant Manager - Technology (Digital Project Management),MHK Restaurants Limited,3,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-27 18:00,76872253,https://hk.jobsdb.com/job/76872253
"Business Analyst (Commercial, renewable contract)",CL Technical Services Ltd.,3,FALSE,"Tai Kok Tsui, Yau Tsim Mong District",Information & Communication Technology,"$28,000 - $38,000 per month",2024-06-19 18:00,76672735,https://hk.jobsdb.com/job/76672735
"Assistant Manager - Digital Projects, Information Technology",Maxim's Caterers Limited,6,FALSE,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-28 18:00,76907618,https://hk.jobsdb.com/job/76907618
Assistant Business Development Analyst,Leighton Contractors (Asia) Ltd,1,FALSE,"Wan Chai, Wan Chai District",Construction,,2024-06-24 18:00,76773496,https://hk.jobsdb.com/job/76773496
Information Security Analyst,Swire Coca-Cola HK Ltd,3,FALSE,Sha Tin District,Information & Communication Technology,,2024-06-29 18:00,76913810,https://hk.jobsdb.com/job/76913810
Project Analyst,AXA Hong Kong,1,FALSE,"Wong Chuk Hang, Southern District",Insurance & Superannuation,,2024-06-21 18:00,76733298,https://hk.jobsdb.com/job/76733298
Software Tester For Bot Detection Company (R&D Role),Pgnet Limited,1,FALSE,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,"$20,000 - $30,000 per month",2024-06-28 18:00,76887405,https://hk.jobsdb.com/job/76887405
Finance Operations Analyst,Chubb Insurance Hong Kong Limited,3,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-28 18:00,75134963,https://hk.jobsdb.com/job/75134963
Systems Analyst (Ref: 240000X7),MTR Corporation Limited,5,FALSE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-28 18:00,76896530,https://hk.jobsdb.com/job/76896530
Business Analyst (Core Banking),Bank of China (Hong Kong) Limited,3,FALSE,Hong Kong,Information & Communication Technology,,2024-06-19 18:00,76659837,https://hk.jobsdb.com/job/76659837
